emp_id,first_name,last_name,email,dob,telephone,address,gender,trust,ethnicity,nationality,visa_status,staff_group,role,division,grade,hourly_rate,hire_date,contract_start,weekly_hours,fte,registration_type,contract_type,employment_status,registration_no,registration_expiry_date,ni,dbs_expiry_date,mandatory_training_expiry_date,profile_creation_date
EMP0001-20260914_000059,Paul,Williams,dunndominic@example.com,1992-04-10,+441184960214,"1 Geraldine Trail
Zoebury
FK8 8FJ",Female,Riverbank General Hospitals NHS Trust,Black,South Africa,Dependent,Admin,Data Analyst,Critical Care & Anaesthesia,8A,31.45,2017-07-12,2017-08-09,30.0,0.8,GMC,Fixed Term,On Leave,MW968465,2029-04-09,DY555679,2026-12-14,2027-03-17,2017-08-02
EMP0002-20260914_000059,Jamie,Barnes,julianhowell@example.net,1996-07-17,028 9018778,"Studio 21
Beverley Ports
Ireneside
E3T 7JR",Female,Broadfield Clinical Services NHS Trust,White,New Zealand,ILR,Admin,Medical Secretary,Surgery & Cancer,4,17.51,2020-06-16,2020-07-21,20.0,0.53,None,Bank,Inactive,PM061245,2030-06-10,NN704233,2031-07-12,2027-08-13,2020-07-07
EMP0003-20260914_000059,Joshua,Kirk,jonesgemma@example.com,1976-07-23,+44(0)292018183,"0 Julia Bridge
Lake Wendyville
TW50 4LE",Male,Greenhaven Acute & Specialist Care NHS Trust,White,United Kingdom,Dependent,AHP,Physiotherapist,Emergency & Urgent Care,6,26.72,2017-03-23,2017-04-27,37.5,1.0,None,Permanent,Inactive,BX878565,2027-09-15,BS786702,2027-10-18,2027-01-19,2017-04-13
EMP0004-20260914_000059,Heather,Nash,janice13@example.org,2001-06-21,+44(0)114 496 0257,"9 Harris Bypass
Port Deborah
L9K 8NZ",Female,Midlands Central Hospitals NHS Trust,Black,Barbados,British Citizen,Nursing,Staff Nurse,Emergency & Urgent Care,5,19.97,2026-01-12,2026-02-23,18.75,0.5,HCPC,Bank,On Leave,WO826932,2026-09-29,NO463792,2028-11-18,2027-08-14,2026-02-02
EMP0005-20260914_000059,Megan,Taylor,jallen@example.net,1975-09-20,(0141) 4960366,"Studio 6
Ellis Ports
South Glenn
OL73 4HQ",Female,Lakeside District Hospitals NHS Trust,White,New Zealand,Skilled Worker,Medical,SHO,Surgery & Cancer,SHO,28.55,2021-07-13,2021-08-24,18.75,0.5,None,Permanent,Suspended,YI962816,2027-05-28,NG382439,2030-04-14,2026-10-22,2021-08-03
EMP0006-20260914_000059,Geraldine,Field,mandy91@example.net,1994-01-14,01632 960529,"Flat 5
Wilkinson Corners
West Wendymouth
LE4 9FJ",Female,Westborough Acute Care NHS Trust,White,United Kingdom,Skilled Worker,AHP,Occupational Therapist,Medicine & Acute Care,6,25.45,2024-03-21,2024-04-25,15.0,0.4,HCPC,Permanent,On Leave,LI755406,2028-05-14,DN507456,2030-04-07,2027-09-02,2024-04-11
EMP0007-20260914_000059,Valerie,Howells,emmabarker@example.net,1996-12-11,+44(0)9098790008,"8 Watson Ramp
Duncanfort
N4 1NL",Male,Northwood Mental Health NHS Trust,White,United States,ILR,Nursing,Ward Manager,Women & Children,8A,29.14,2021-07-31,2021-09-04,15.0,0.4,NMC,Bank,On Leave,LL564518,2031-03-22,CM780638,2029-11-24,2027-01-20,2021-08-21
EMP0008-20260914_000059,Gerard,Reynolds,marilyn73@example.com,2003-01-16,029 2018556,"Flat 68F
Burton Corners
New Gerardport
N4 8SZ",Male,Westmere Community Health NHS Trust,Mixed,India,British Citizen,Medical,GP,Emergency & Urgent Care,GP,58.62,2017-01-06,2017-02-17,18.75,0.5,None,Bank,On Leave,NL362676,2028-06-27,MX839132,2031-04-04,2027-03-09,2017-01-27
EMP0009-20260914_000059,Terry,West,zparker@example.org,1963-03-20,+44(0)1314960637,"Studio 1
Jane Lodge
East Anthonyborough
L56 2RS",Male,Oakridge Community Services NHS Trust,Asian,Japan,British Citizen,AHP,Physiologist,Medicine & Acute Care,6,23.49,2019-12-30,2020-01-27,37.5,1.0,None,Fixed Term,On Leave,LF277130,2027-11-27,QH805363,2028-11-24,2027-04-28,2020-01-20
EMP0010-20260914_000059,Jane,Harper,barnesdanielle@example.net,1975-11-25,029 2018 0735,"Studio 8
Hodgson Stream
Port Samuelside
LN3 6LH",Male,Eastmoor Teaching Hospitals NHS Trust,Mixed,Australia,ILR,Medical,SHO,Critical Care & Anaesthesia,SHO,26.57,2019-07-17,2019-08-14,15.0,0.4,NMC,Fixed Term,Active,JJ046534,2030-09-16,YS063745,2027-07-04,2027-01-26,2019-08-07
