booking reference,shift_date,start,end,trust,staff group,ward,division,request grade,booked grade,payband,day rate,night rate,staff_id,requester,request_reason,booked date
BR-00000001-20260914_000059,2027-06-06,01:30:00,02:30:00,Westborough Acute Care NHS Trust,Nursing,Haematology,Medicine & Acute Care,Senior Staff Nurse,Healthcare Assistant,2,12.31,14.36,EMP0023-20260914_000059,Lynda Shaw,Unexpected Absence,2025-08-24
BR-00000002-20260914_000059,2027-02-05,02:00:00,03:00:00,Southvale Hospitals NHS Trust,AHP,Communications,Corporate Services,Radiographer,Physiotherapist,6,22.56,28.21,EMP1181-20260914_000059,Mark Moore,Night Shift Cover,2026-04-16
BR-00000003-20260914_000059,2027-08-08,23:15:00,11:15:00,Valleyview Mental Wellness NHS Trust,Nursing,Emergency Department,Emergency & Urgent Care,Healthcare Assistant,Staff Nurse,5,18.97,23.08,EMP0225-20260914_000059,Sara Smith,Sickness Cover,2026-01-18
BR-00000004-20260914_000059,2026-01-08,08:45:00,15:45:00,Oakridge Community Services NHS Trust,AHP,Gynaecology,Women & Children,Physiotherapist,Speech Therapist,6,22.56,28.21,EMP0296-20260914_000059,Rachael Mason,Training Cover,2025-10-06
BR-00000005-20260914_000059,2026-04-03,17:15:00,19:15:00,Horizon Integrated Health Partnership NHS Trust,Nursing,Urgent Care,Emergency & Urgent Care,Senior Staff Nurse,Staff Nurse,5,18.97,23.08,EMP0296-20260914_000059,Chelsea Wilson,Planned Leave Cover,2025-02-26
BR-00000006-20260914_000059,2026-12-14,03:15:00,04:15:00,Westborough Acute Care NHS Trust,AHP,Ambulance Services,Emergency & Urgent Care,Speech Therapist,Physiotherapist,6,22.56,28.21,EMP0350-20260914_000059,Jason James-Thomas,Increased Patient Demand,2024-11-24
BR-00000007-20260914_000059,2025-12-18,03:30:00,09:30:00,Horizon Integrated Health Partnership NHS Trust,Nursing,Endocrinology,Medicine & Acute Care,Charge Nurse,Charge Nurse,7,26.67,33.33,EMP0594-20260914_000059,Anthony Davies-Patel,Bank Holiday Cover,2026-09-05
BR-00000008-20260914_000059,2027-06-19,08:30:00,10:30:00,Northwood Mental Health NHS Trust,AHP,Obstetrics,Women & Children,Speech Therapist,Speech Therapist,6,22.56,28.21,EMP0202-20260914_000059,Dr Natalie Morris,New Service Requirement,2025-04-05
BR-00000009-20260914_000059,2026-02-17,12:15:00,16:15:00,Southgate Community & Mental Health NHS Trust,Nursing,Obstetrics,Women & Children,Healthcare Assistant,Senior Staff Nurse,6,22.56,28.21,EMP0494-20260914_000059,Dr Donald Quinn,Staff Redeployment,2025-08-30
BR-00000010-20260914_000059,2026-01-19,11:45:00,20:45:00,Eastmoor Teaching Hospitals NHS Trust,AHP,Anaesthesia,Critical Care & Anaesthesia,Physiotherapist,Occupational Therapist,6,22.56,28.21,EMP1132-20260914_000059,Jamie Hamilton-Davies,Bank Holiday Cover,2026-04-15
BR-00000011-20260914_000059,2026-01-09,19:15:00,21:15:00,Southgate Community & Mental Health NHS Trust,Admin,ENT Surgery,Surgery & Cancer,Receptionist,Receptionist,3,13.33,16.41,EMP0119-20260914_000059,Barbara Bennett,Bank Holiday Cover,2025-05-04
