booking reference,shift_date,start,end,trust,staff group,ward,division,request grade,booked grade,payband,day rate,night rate,staff_id,requester,request_reason,booked date
BR-00000001-20260916_215328,2026-03-04,12:00:00,17:00:00,Meadowbrook Community Health NHS Trust,Medical,Acute Medicine,Medicine & Acute Care,Consultant,Consultant,CONS,48.72,71.79,EMP0543-20260916_215328,Jessica Black,Specialist Skills Required,2026-06-12
BR-00000002-20260916_215328,2026-09-11,11:30:00,17:30:00,Hillcrest Medical Centres NHS Trust,Admin,Intensive Care Unit,Critical Care & Anaesthesia,Receptionist,Administrator,3,13.33,16.41,EMP0637-20260916_215328,Keith Kerr-Burrows,Emergency Cover,2025-10-05
BR-00000003-20260916_215328,2025-11-19,01:00:00,12:00:00,Southvale Hospitals NHS Trust,AHP,Neurosurgery,Surgery & Cancer,Occupational Therapist,Speech Therapist,6,22.56,28.21,EMP0734-20260916_215328,Trevor Freeman,Night Shift Cover,2026-06-17
BR-00000004-20260916_215328,2025-12-16,11:30:00,23:30:00,Westmere Community Health NHS Trust,Admin,Pathology,Clinical Support Services,Receptionist,Medical Secretary,4,15.38,19.49,EMP0991-20260916_215328,Jane Jackson,Training Cover,2025-09-02
BR-00000005-20260916_215328,2025-11-26,05:00:00,13:00:00,Oakridge Community Services NHS Trust,Nursing,Orthopaedics,Surgery & Cancer,Healthcare Assistant,Healthcare Assistant,2,12.31,14.36,EMP1127-20260916_215328,Rhys Thomson,Bank Holiday Cover,2025-03-24
BR-00000006-20260916_215328,2026-05-11,13:45:00,15:45:00,Northshire University Hospitals NHS Trust,AHP,Dermatology,Medicine & Acute Care,Radiographer,Physiologist,6,22.56,28.21,EMP0151-20260916_215328,Alison Morris,Training Cover,2026-06-10
BR-00000007-20260916_215328,2025-12-29,15:30:00,20:30:00,Bluewater Community & Rehabilitation NHS Trust,Admin,Postnatal Care,Women & Children,Data Analyst,Data Analyst,8A,28.21,35.9,EMP1006-20260916_215328,Roy Davies,Operational Requirement,2025-08-05
BR-00000008-20260916_215328,2027-03-27,00:45:00,11:45:00,Riverbank General Hospitals NHS Trust,Medical,Finance,Corporate Services,GP,GP,GP,46.15,61.54,EMP0155-20260916_215328,Stephen Jackson-Sykes,Training Cover,2025-11-24
BR-00000009-20260916_215328,2027-03-06,16:15:00,22:15:00,Lakeside District Hospitals NHS Trust,AHP,Neurosurgery,Surgery & Cancer,Physiologist,Radiographer,6,22.56,28.21,EMP0136-20260916_215328,Sally Green,Maternity Leave Cover,2025-06-05
BR-00000010-20260916_215328,2026-02-21,23:00:00,01:00:00,Lakeside District Hospitals NHS Trust,Nursing,Pain Management,Critical Care & Anaesthesia,Charge Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0225-20260916_215328,Russell Briggs-Fox,High Acuity Patients,2026-08-13
BR-00000011-20260916_215328,2026-11-03,08:00:00,15:00:00,Meadowbrook Community Health NHS Trust,Medical,Anaesthesia,Critical Care & Anaesthesia,SHO,FY1/FY2,FY1,18.46,21.54,EMP0344-20260916_215328,Gordon Metcalfe,Specialist Skills Required,2025-11-13
BR-00000012-20260916_215328,2027-03-11,00:30:00,02:30:00,Midlands Central Hospitals NHS Trust,Admin,Breast Surgery,Surgery & Cancer,Medical Secretary,Receptionist,3,13.33,16.41,EMP0697-20260916_215328,Sian Scott,Additional Patient Safety Cover,2025-03-06
BR-00000013-20260916_215328,2026-12-19,11:45:00,21:45:00,Westmere Community Health NHS Trust,Nursing,Intensive Care Unit,Critical Care & Anaesthesia,Healthcare Assistant,Staff Nurse,5,18.97,23.08,EMP0539-20260916_215328,Maurice Graham,Emergency Cover,2025-06-03
BR-00000014-20260916_215328,2025-11-08,07:30:00,10:30:00,Riverbank General Hospitals NHS Trust,Admin,Paediatrics,Women & Children,Administrator,Administrator,3,13.33,16.41,EMP1168-20260916_215328,Olivia Wallis-Cross,Staff Redeployment,2025-11-06
BR-00000015-20260916_215328,2027-08-05,01:30:00,07:30:00,Greenhaven Acute & Specialist Care NHS Trust,Nursing,Orthopaedics,Surgery & Cancer,Senior Staff Nurse,Nursery Nurse,2,12.31,14.36,EMP0637-20260916_215328,Dr Katherine Marsh,Increased Patient Demand,2026-05-24
BR-00000016-20260916_215328,2026-06-17,13:45:00,19:45:00,Bluewater Community & Rehabilitation NHS Trust,Nursing,Ambulance Services,Emergency & Urgent Care,Healthcare Assistant,Staff Nurse,5,18.97,23.08,EMP0271-20260916_215328,Miss Lynn Hall,New Service Requirement,2026-05-13
BR-00000017-20260916_215328,2026-08-11,13:00:00,15:00:00,Midlands Central Hospitals NHS Trust,Nursing,ENT Surgery,Surgery & Cancer,Nursery Nurse,Healthcare Assistant,2,12.31,14.36,EMP0160-20260916_215328,Simon Walker,Staff Shortage,2026-08-06
BR-00000018-20260916_215328,2026-01-30,04:45:00,12:45:00,Northshire University Hospitals NHS Trust,Admin,Emergency Department,Emergency & Urgent Care,Data Analyst,Administrator,3,13.33,16.41,EMP1094-20260916_215328,Megan Crawford,High Acuity Patients,2025-03-19
BR-00000019-20260916_215328,2027-02-05,11:15:00,13:15:00,Hillcrest Medical Centres NHS Trust,Admin,Pain Management,Critical Care & Anaesthesia,Administrator,Receptionist,3,13.33,16.41,EMP1090-20260916_215328,Miss Eleanor Warren,Specialist Skills Required,2025-06-21
BR-00000020-20260916_215328,2026-09-20,06:15:00,10:15:00,Eastfield Psychological Services NHS Trust,Nursing,Oncology,Medicine & Acute Care,Staff Nurse,Healthcare Assistant,2,12.31,14.36,EMP0222-20260916_215328,Donald Byrne,Night Shift Cover,2025-11-29
BR-00000021-20260916_215328,2025-12-01,20:45:00,23:45:00,Westmere Community Health NHS Trust,Admin,Finance,Corporate Services,Receptionist,Receptionist,3,13.33,16.41,EMP0068-20260916_215328,Pamela Johnson,Annual Leave Cover,2025-05-30
BR-00000022-20260916_215328,2027-04-10,01:00:00,08:00:00,Westmere Community Health NHS Trust,Nursing,Acute Medicine,Medicine & Acute Care,Senior Staff Nurse,Charge Nurse,7,26.67,33.33,EMP1077-20260916_215328,Dr Mohamed Preston,Sickness Cover,2026-02-14
BR-00000023-20260916_215328,2026-04-26,14:30:00,21:30:00,Lakeside District Hospitals NHS Trust,Medical,Physiotherapy,Clinical Support Services,FY1/FY2,SHO,SHO,23.08,30.77,EMP1200-20260916_215328,Mary Johnson,Night Shift Cover,2025-04-06
BR-00000024-20260916_215328,2026-06-15,14:15:00,15:15:00,Meadowbrook Community Health NHS Trust,Medical,Gynaecology,Women & Children,SHO,GP,GP,46.15,61.54,EMP1026-20260916_215328,Kenneth Smith-Bell,Specialist Skills Required,2026-09-02
BR-00000025-20260916_215328,2026-09-01,08:30:00,11:30:00,Oakridge Community Services NHS Trust,Medical,Minor Injuries Unit,Emergency & Urgent Care,Registrar,SHO,SHO,23.08,30.77,EMP0140-20260916_215328,Dr Terry Thompson,Maternity Leave Cover,2025-11-24
