booking reference,shift_date,start,end,trust,staff group,ward,division,request grade,booked grade,payband,day rate,night rate,staff_id,requester,request_reason,booked date
BR-00000001-20260916_214726,2027-08-04,23:30:00,04:30:00,Northshire University Hospitals NHS Trust,Medical,Paediatrics,Women & Children,Registrar,SHO,SHO,23.08,30.77,EMP0673-20260916_214726,Tony Taylor,Training Cover,2024-10-12
BR-00000002-20260916_214726,2027-07-13,08:45:00,11:45:00,Riverside Integrated Care NHS Trust,Nursing,Radiology,Clinical Support Services,Staff Nurse,Healthcare Assistant,2,12.31,14.36,EMP0061-20260916_214726,Miss Leah Burns,Operational Requirement,2025-06-29
BR-00000003-20260916_214726,2025-11-02,02:15:00,09:15:00,Valleyview Mental Wellness NHS Trust,AHP,Occupational Therapy,Clinical Support Services,Pharmacist,Physiologist,6,22.56,28.21,EMP0630-20260916_214726,Ross Anderson,Training Cover,2026-08-25
BR-00000004-20260916_214726,2026-01-31,14:15:00,19:15:00,Westborough Acute Care NHS Trust,AHP,Gynaecology,Women & Children,Pharmacist,Occupational Therapist,6,22.56,28.21,EMP1169-20260916_214726,Dr Connor Davey,Weekend Cover,2024-10-26
BR-00000005-20260916_214726,2027-07-16,05:15:00,15:15:00,Northwood Mental Health NHS Trust,Medical,Urgent Care,Emergency & Urgent Care,GP,FY1/FY2,FY1,18.46,21.54,EMP0031-20260916_214726,Mr Peter Hope,Training Cover,2024-12-09
BR-00000006-20260916_214726,2025-10-28,18:45:00,19:45:00,Eastmoor Teaching Hospitals NHS Trust,Admin,Emergency Department,Emergency & Urgent Care,Medical Secretary,Data Analyst,8A,28.21,35.9,EMP0954-20260916_214726,Mrs Katie Hall,New Service Requirement,2026-04-28
BR-00000007-20260916_214726,2026-12-09,16:00:00,21:00:00,Riverside Integrated Care NHS Trust,AHP,Communications,Corporate Services,Pharmacist,Physiologist,6,22.56,28.21,EMP0722-20260916_214726,Max Miller,Additional Patient Safety Cover,2026-04-29
BR-00000008-20260916_214726,2027-03-09,23:30:00,06:30:00,Midlands Central Hospitals NHS Trust,Medical,Anaesthesia,Critical Care & Anaesthesia,Consultant,SHO,SHO,23.08,30.77,EMP0476-20260916_214726,Brenda Yates,Sickness Cover,2025-03-10
BR-00000009-20260916_214726,2026-12-31,12:00:00,13:00:00,Greenhaven Acute & Specialist Care NHS Trust,Nursing,Communications,Corporate Services,Ward Manager,Ward Manager,8A,28.21,35.9,EMP1034-20260916_214726,Dr Joseph Harding,New Service Requirement,2026-09-03
BR-00000010-20260916_214726,2027-03-20,10:30:00,14:30:00,Northshire University Hospitals NHS Trust,Nursing,Paediatrics,Women & Children,Senior Staff Nurse,Charge Nurse,7,26.67,33.33,EMP0027-20260916_214726,Miss Anna Long,Staff Redeployment,2025-09-15
BR-00000011-20260916_214726,2027-03-17,09:15:00,21:15:00,Westborough Acute Care NHS Trust,Medical,Obstetrics,Women & Children,SHO,GP,GP,46.15,61.54,EMP0122-20260916_214726,Carolyn Jones-Khan,Emergency Cover,2025-03-30
BR-00000012-20260916_214726,2026-07-02,05:00:00,07:00:00,Oakridge Community Services NHS Trust,Medical,Breast Surgery,Surgery & Cancer,Consultant,FY1/FY2,FY1,18.46,21.54,EMP1174-20260916_214726,Lisa Smith,Training Cover,2025-10-11
BR-00000013-20260916_214726,2025-11-08,10:15:00,12:15:00,Northwood Mental Health NHS Trust,Medical,Neurology,Medicine & Acute Care,SHO,FY1/FY2,FY1,18.46,21.54,EMP0416-20260916_214726,Danny Allen,Staff Redeployment,2025-12-31
BR-00000014-20260916_214726,2026-11-19,02:30:00,11:30:00,Valleyview Mental Wellness NHS Trust,Nursing,Pharmacy,Clinical Support Services,Charge Nurse,Charge Nurse,7,26.67,33.33,EMP0395-20260916_214726,Margaret Shepherd,Weekend Cover,2025-03-14
BR-00000015-20260916_214726,2025-11-11,11:30:00,20:30:00,Eastfield Psychological Services NHS Trust,AHP,Anaesthesia,Critical Care & Anaesthesia,Occupational Therapist,Physiologist,6,22.56,28.21,EMP0927-20260916_214726,Dr Jayne Hunter,Specialist Skills Required,2026-01-13
BR-00000016-20260916_214726,2026-02-03,10:15:00,22:15:00,Westmere Community Health NHS Trust,Medical,Facilities Management,Corporate Services,GP,GP,GP,46.15,61.54,EMP1175-20260916_214726,Dr Rosemary Harding,Additional Patient Safety Cover,2025-07-24
BR-00000017-20260916_214726,2027-06-10,09:00:00,14:00:00,Southgate Community & Mental Health NHS Trust,Medical,Ambulance Services,Emergency & Urgent Care,Consultant,Consultant,CONS,48.72,71.79,EMP0783-20260916_214726,Carl Mitchell,Sickness Cover,2025-01-02
BR-00000018-20260916_214726,2027-04-28,10:30:00,21:30:00,Northshire University Hospitals NHS Trust,Medical,Pain Management,Critical Care & Anaesthesia,GP,FY1/FY2,FY1,18.46,21.54,EMP0112-20260916_214726,Mohamed Smith,Emergency Cover,2025-07-09
BR-00000019-20260916_214726,2027-04-08,02:15:00,11:15:00,Riverside Integrated Care NHS Trust,Nursing,Pain Management,Critical Care & Anaesthesia,Nursery Nurse,Staff Nurse,5,18.97,23.08,EMP0693-20260916_214726,Jamie Gould,Ward Capacity Increase,2025-10-10
BR-00000020-20260916_214726,2027-08-14,08:30:00,17:30:00,Oakridge Community Services NHS Trust,Admin,Colorectal Surgery,Surgery & Cancer,Receptionist,Medical Secretary,4,15.38,19.49,EMP0592-20260916_214726,Francis Howard,Operational Requirement,2025-07-07
BR-00000021-20260916_214726,2026-06-11,00:15:00,01:15:00,Westborough Acute Care NHS Trust,Admin,IT Support,Corporate Services,Administrator,Medical Secretary,4,15.38,19.49,EMP0127-20260916_214726,Mrs Sandra Evans,New Service Requirement,2026-03-30
BR-00000022-20260916_214726,2026-10-21,04:45:00,10:45:00,Bluewater Community & Rehabilitation NHS Trust,Medical,Colorectal Surgery,Surgery & Cancer,Consultant,GP,GP,46.15,61.54,EMP0360-20260916_214726,Maurice Knight,Operational Requirement,2025-08-12
BR-00000023-20260916_214726,2027-02-22,10:30:00,22:30:00,Hillcrest Medical Centres NHS Trust,AHP,Colorectal Surgery,Surgery & Cancer,Radiographer,Pharmacist,5,18.97,23.08,EMP1054-20260916_214726,Edward Wilson,High Acuity Patients,2026-05-02
BR-00000024-20260916_214726,2026-03-17,07:15:00,19:15:00,Horizon Integrated Health Partnership NHS Trust,Admin,Anaesthesia,Critical Care & Anaesthesia,Data Analyst,Administrator,3,13.33,16.41,EMP0046-20260916_214726,Mr Liam Hutchinson,Additional Patient Safety Cover,2026-08-02
BR-00000025-20260916_214726,2027-09-06,14:15:00,02:15:00,Northshire University Hospitals NHS Trust,Admin,Human Resources,Corporate Services,Receptionist,Medical Secretary,4,15.38,19.49,EMP1070-20260916_214726,Terry Gill-Ward,High Acuity Patients,2024-10-22
BR-00000026-20260916_214726,2025-12-09,00:15:00,04:15:00,Midlands Central Hospitals NHS Trust,Medical,Gynaecology,Women & Children,SHO,Consultant,CONS,48.72,71.79,EMP0377-20260916_214726,Mrs Rosie Gregory,Weekend Cover,2026-03-15
BR-00000027-20260916_214726,2026-05-17,00:15:00,12:15:00,Horizon Integrated Health Partnership NHS Trust,Nursing,Paediatrics,Women & Children,Ward Manager,Ward Manager,8A,28.21,35.9,EMP0896-20260916_214726,Edward Norman,High Acuity Patients,2026-01-12
BR-00000028-20260916_214726,2025-12-28,02:30:00,11:30:00,Horizon Integrated Health Partnership NHS Trust,Medical,Intensive Care Unit,Critical Care & Anaesthesia,SHO,Registrar,SPR,33.33,43.59,EMP0077-20260916_214726,Damian Stanley,Planned Leave Cover,2025-02-07
BR-00000029-20260916_214726,2027-08-20,13:00:00,01:00:00,Broadfield Clinical Services NHS Trust,Medical,Anaesthesia,Critical Care & Anaesthesia,Registrar,Consultant,CONS,48.72,71.79,EMP0499-20260916_214726,Miss Julia Stewart,Sickness Cover,2025-06-12
BR-00000030-20260916_214726,2027-05-19,06:00:00,08:00:00,Meadowbrook Community Health NHS Trust,Medical,Obstetrics,Women & Children,FY1/FY2,Registrar,SPR,33.33,43.59,EMP0853-20260916_214726,Molly Carter-Roberts,Sickness Cover,2024-12-29
BR-00000031-20260916_214726,2026-07-05,23:30:00,11:30:00,Oakridge Community Services NHS Trust,Nursing,Gynaecology,Women & Children,Ward Manager,Senior Staff Nurse,6,22.56,28.21,EMP0818-20260916_214726,Miss Kelly White,Bank Holiday Cover,2025-02-28
BR-00000032-20260916_214726,2026-06-22,11:45:00,16:45:00,Riverbank General Hospitals NHS Trust,Medical,Gastroenterology,Medicine & Acute Care,Registrar,SHO,SHO,23.08,30.77,EMP0674-20260916_214726,Ian Power-Dunn,High Acuity Patients,2025-12-20
BR-00000033-20260916_214726,2026-07-09,21:00:00,04:00:00,Westmere Community Health NHS Trust,Nursing,Emergency Department,Emergency & Urgent Care,Staff Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0269-20260916_214726,Steven Walker,Additional Patient Safety Cover,2024-10-03
BR-00000034-20260916_214726,2027-03-24,08:00:00,16:00:00,Northshire University Hospitals NHS Trust,Admin,Colorectal Surgery,Surgery & Cancer,Data Analyst,Administrator,3,13.33,16.41,EMP0722-20260916_214726,Paula Kirby,Annual Leave Cover,2025-05-09
BR-00000035-20260916_214726,2027-06-16,21:00:00,05:00:00,Eastfield Psychological Services NHS Trust,AHP,Pathology,Clinical Support Services,Physiotherapist,Physiotherapist,6,22.56,28.21,EMP0828-20260916_214726,Martyn Cross-Young,Ward Capacity Increase,2026-07-09
BR-00000036-20260916_214726,2026-07-25,08:45:00,12:45:00,Horizon Integrated Health Partnership NHS Trust,Medical,Minor Injuries Unit,Emergency & Urgent Care,FY1/FY2,FY1/FY2,FY1,18.46,21.54,EMP1023-20260916_214726,Janice Allen-Walsh,Annual Leave Cover,2025-04-27
BR-00000037-20260916_214726,2026-09-27,00:00:00,05:00:00,Westborough Acute Care NHS Trust,Medical,Urgent Care,Emergency & Urgent Care,GP,SHO,SHO,23.08,30.77,EMP1073-20260916_214726,Dr Gordon Smith,Night Shift Cover,2025-07-30
BR-00000038-20260916_214726,2026-09-26,01:00:00,06:00:00,Horizon Integrated Health Partnership NHS Trust,Medical,Urgent Care,Emergency & Urgent Care,Registrar,FY1/FY2,FY1,18.46,21.54,EMP1191-20260916_214726,Joshua Frost,Training Cover,2025-12-18
BR-00000039-20260916_214726,2026-08-12,01:00:00,09:00:00,Greenhaven Acute & Specialist Care NHS Trust,AHP,Facilities Management,Corporate Services,Physiologist,Speech Therapist,6,22.56,28.21,EMP0327-20260916_214726,Aaron Kay,High Acuity Patients,2025-12-30
BR-00000040-20260916_214726,2025-10-15,23:30:00,07:30:00,Greenhaven Acute & Specialist Care NHS Trust,AHP,Physiotherapy,Clinical Support Services,Speech Therapist,Pharmacist,5,18.97,23.08,EMP0901-20260916_214726,Reece Barrett,Specialist Skills Required,2025-03-03
BR-00000041-20260916_214726,2026-07-27,13:30:00,17:30:00,Midlands Central Hospitals NHS Trust,Admin,Facilities Management,Corporate Services,Administrator,Medical Secretary,4,15.38,19.49,EMP1168-20260916_214726,Carl Barber-Wallis,Operational Requirement,2024-10-09
BR-00000042-20260916_214726,2027-06-07,05:15:00,07:15:00,Eastmoor Teaching Hospitals NHS Trust,Nursing,Pharmacy,Clinical Support Services,Senior Staff Nurse,Nursery Nurse,2,12.31,14.36,EMP0614-20260916_214726,Susan Bond,Increased Patient Demand,2024-10-05
BR-00000043-20260916_214726,2026-12-31,04:30:00,13:30:00,Riverbank General Hospitals NHS Trust,AHP,Orthopaedics,Surgery & Cancer,Physiologist,Pharmacist,5,18.97,23.08,EMP0558-20260916_214726,Liam Davis,Maternity Leave Cover,2025-11-21
BR-00000044-20260916_214726,2026-11-23,19:45:00,02:45:00,Hillcrest Medical Centres NHS Trust,Admin,Endocrinology,Medicine & Acute Care,Administrator,Receptionist,3,13.33,16.41,EMP0065-20260916_214726,Ms Michelle Cooper,Ward Capacity Increase,2024-12-17
