emp_id,first_name,last_name,email,dob,telephone,address,gender,trust,ethnicity,nationality,visa_status,staff_group,role,division,grade,hourly_rate,hire_date,contract_start,weekly_hours,fte,registration_type,contract_type,employment_status,registration_no,registration_expiry_date,ni,dbs_expiry_date,mandatory_training_expiry_date,profile_creation_date
EMP0001-20260913_210742,James,Clark,farmstrong@example.org,1964-10-03,+44(0)29 2018 0511,"Flat 95
Williams Land
West Samuel
B2 8DD",Female,Lakeside District Hospitals NHS Trust,White,Canada,ILR,AHP,Speech Therapist,Medicine & Acute Care,6,28.06,2019-05-21,2019-06-18,15.0,0.4,GMC,Bank,Suspended,BF367038,2028-01-19,HK917470,2027-09-15,2027-08-21,2019-06-11
EMP0002-20260913_210742,Martyn,Coles,tevans@example.com,1980-07-29,(0151) 496 0235,"Studio 16b
Wilson Extensions
East Ritafort
SY5 6ZJ",Female,Bluewater Community & Rehabilitation NHS Trust,Black,Jamaica,ILR,Nursing,Nursery Nurse,Critical Care & Anaesthesia,2,12.66,2021-12-03,2022-01-07,18.75,0.5,HCPC,Bank,On Leave,GE116929,2030-03-27,QQ574531,2028-04-27,2026-10-03,2021-12-24
EMP0003-20260913_210742,Mary,Hamilton,geraldineweston@example.net,1999-05-01,+44(0)117 496 0010,"018 Mitchell Mews
Lynnburgh
N2T 2EJ",Male,Valleyview Mental Wellness NHS Trust,White,United Kingdom,Skilled Worker,Admin,Receptionist,Emergency & Urgent Care,3,15.45,2018-06-17,2018-07-15,15.0,0.4,None,Fixed Term,Suspended,AW512239,2027-10-24,II225780,2031-07-16,2027-01-24,2018-07-08
EMP0004-20260913_210742,Sean,Scott,mauricesmith@example.com,1964-02-25,+44(0)161 4960655,"Studio 01
Cartwright Inlet
North Annette
RH91 7PW",Male,Oakridge Community Services NHS Trust,White,New Zealand,British Citizen,AHP,Pharmacist,Critical Care & Anaesthesia,5,21.13,2021-05-31,2021-06-28,20.0,0.53,GMC,Permanent,Inactive,AD387044,2031-02-24,BM243711,2030-08-12,2027-05-21,2021-06-21
EMP0005-20260913_210742,Reece,Lawson,williamlowe@example.net,1981-01-19,+44161 4960272,"5 Declan Mission
Kirstyshire
DG8 2BF",Female,Southgate Community & Mental Health NHS Trust,Asian,China,Skilled Worker,Medical,SHO,Medicine & Acute Care,SHO,27.4,2019-12-22,2020-01-26,37.5,1.0,NMC,Bank,Inactive,NQ690853,2026-10-18,XW188260,2029-05-25,2027-03-15,2020-01-12
EMP0006-20260913_210742,Claire,King,dawnrobinson@example.net,1990-12-10,+441632960365,"5 Alison Forest
Hillburgh
E2S 3NE",Male,Northwood Mental Health NHS Trust,White,New Zealand,Skilled Worker,Nursing,Staff Nurse,Critical Care & Anaesthesia,5,22.67,2017-06-15,2017-07-27,30.0,0.8,NMC,Permanent,Suspended,GV916599,2031-01-07,YT481729,2027-07-03,2027-01-16,2017-07-06
EMP0007-20260913_210742,Ronald,Parker,william81@example.org,1986-03-06,+44115 496 0027,"1 Francis Mountains
Collinsshire
WF64 1GQ",Male,Valleyview Mental Wellness NHS Trust,Mixed,Ghana,British Citizen,Nursing,Staff Nurse,Corporate Services,5,20.77,2021-02-04,2021-03-11,30.0,0.8,GMC,Bank,Inactive,CY687401,2027-03-08,UB333859,2027-02-04,2027-04-09,2021-02-25
EMP0008-20260913_210742,Sara,Warren,traceybarlow@example.com,1967-01-07,01514960243,"Flat 8
Iqbal Fields
New Brandonview
NE15 7ZP",Male,Riverside Integrated Care NHS Trust,Black,Trinidad and Tobago,British Citizen,Nursing,Nursery Nurse,Corporate Services,2,13.5,2021-06-27,2021-08-01,30.0,0.8,GMC,Bank,Active,FQ884561,2030-10-17,QK701885,2030-07-06,2027-04-21,2021-07-18
EMP0009-20260913_210742,Timothy,Burton,pconway@example.com,1974-03-21,+441184960598,"648 Bishop Turnpike
Tomberg
M2 2JA",Male,Eastfield Psychological Services NHS Trust,White,United Kingdom,British Citizen,Nursing,Senior Staff Nurse,Critical Care & Anaesthesia,6,25.11,2021-03-07,2021-04-11,20.0,0.53,NMC,Fixed Term,Inactive,AW328146,2031-03-03,VX731890,2029-06-12,2026-12-31,2021-03-28
EMP0010-20260913_210742,Ryan,Smith,sian24@example.org,1979-10-08,+441164960448,"92 Webb Tunnel
South Barry
DY3 9FS",Male,Westborough Acute Care NHS Trust,Asian,Thailand,Dependent,AHP,Radiographer,Corporate Services,6,28.04,2023-03-04,2023-04-08,20.0,0.53,HCPC,Bank,Suspended,JE237851,2031-04-19,YX283254,2030-04-16,2027-08-06,2023-03-25
EMP0011-20260913_210742,Mohamed,Bruce,shannonhill@example.org,1966-10-18,+44141 4960108,"544 Karen Forge
South Leah
M93 2LB",Female,Southvale Hospitals NHS Trust,Mixed,Trinidad and Tobago,Skilled Worker,Nursing,Charge Nurse,Medicine & Acute Care,7,33.3,2022-09-08,2022-10-06,15.0,0.4,NMC,Permanent,Active,MI401572,2030-09-06,AM854609,2027-10-13,2026-09-27,2022-09-29
EMP0012-20260913_210742,Rosie,Scott,samuel83@example.org,1995-11-13,+44(0)289018408,"Flat 27w
Sanders Trafficway
Port Nathanstad
HA0N 2JP",Male,Horizon Integrated Health Partnership NHS Trust,Mixed,Ghana,British Citizen,AHP,Radiographer,Women & Children,6,28.19,2017-04-18,2017-05-23,37.5,1.0,NMC,Bank,Suspended,RB428274,2027-11-24,TW763043,2030-09-21,2027-06-29,2017-05-09
EMP0013-20260913_210742,Sandra,Smith,geoffreyhayes@example.org,1988-09-23,+44306 9990711,"90 Dodd Station
South Adam
BS7B 2JQ",Male,Meadowbrook Community Health NHS Trust,White,Canada,ILR,Medical,Registrar,Corporate Services,SPR,40.05,2025-09-27,2025-11-01,20.0,0.53,GMC,Bank,Active,ER974922,2030-05-21,WO269336,2031-03-03,2027-06-18,2025-10-18
EMP0014-20260913_210742,Neil,North,estone@example.net,1988-03-29,(0115) 4960310,"Flat 77
Olivia Plain
Stevensstad
S31 7BR",Female,Hillcrest Medical Centres NHS Trust,Black,Barbados,Dependent,Admin,Data Analyst,Emergency & Urgent Care,8A,31.5,2024-05-06,2024-06-17,30.0,0.8,HCPC,Fixed Term,Suspended,VG688600,2029-03-20,XH778105,2027-08-19,2027-07-03,2024-05-27
EMP0015-20260913_210742,Chelsea,Wood,henry78@example.org,1993-08-14,(0909) 8790272,"7 Gibson Station
West Max
L6 4AP",Male,Southvale Hospitals NHS Trust,Black,Kenya,Dependent,Admin,Medical Secretary,Women & Children,4,17.6,2023-05-03,2023-06-07,18.75,0.5,HCPC,Permanent,Active,MO246097,2029-01-16,BG926756,2027-01-30,2027-01-18,2023-05-24
