booking reference,shift_date,start,end,trust,staff group,ward,division,request grade,booked grade,payband,day rate,night rate,staff_id,requester,request_reason,booked date
BR-00000001-20260913_210743,2026-10-10,12:45:00,13:45:00,Meadowbrook Community Health NHS Trust,AHP,Finance,Corporate Services,Radiographer,Physiotherapist,6,22.56,28.21,EMP0338-20260913_210743,Mr Cameron Allen,Unexpected Absence,2026-07-21
BR-00000002-20260913_210743,2026-05-10,14:15:00,17:15:00,Riverside Integrated Care NHS Trust,Nursing,Obstetrics,Women & Children,Nursery Nurse,Nursery Nurse,2,12.31,14.36,EMP0999-20260913_210743,Dr Terence Parker,Maternity Leave Cover,2026-04-29
BR-00000003-20260913_210743,2025-12-06,01:15:00,13:15:00,Riverside Integrated Care NHS Trust,Admin,Intensive Care Unit,Critical Care & Anaesthesia,Receptionist,Data Analyst,8A,28.21,35.9,EMP0832-20260913_210743,Jill Wilson,Planned Leave Cover,2026-06-08
BR-00000004-20260913_210743,2027-06-07,13:45:00,00:45:00,Northwood Mental Health NHS Trust,Nursing,Pain Management,Critical Care & Anaesthesia,Staff Nurse,Ward Manager,8A,28.21,35.9,EMP0356-20260913_210743,Terence Noble,Maternity Leave Cover,2025-10-08
BR-00000005-20260913_210743,2025-11-25,18:15:00,22:15:00,Northshire University Hospitals NHS Trust,AHP,Dermatology,Medicine & Acute Care,Speech Therapist,Radiographer,6,22.56,28.21,EMP0598-20260913_210743,Josephine Hill,Night Shift Cover,2026-04-22
BR-00000006-20260913_210743,2026-03-09,21:15:00,07:15:00,Horizon Integrated Health Partnership NHS Trust,Admin,Pathology,Clinical Support Services,Administrator,Receptionist,3,13.33,16.41,EMP0724-20260913_210743,Dr Katy Hart,Additional Patient Safety Cover,2026-08-18
BR-00000007-20260913_210743,2026-10-05,23:00:00,08:00:00,Bluewater Community & Rehabilitation NHS Trust,Nursing,Gynaecology,Women & Children,Charge Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0999-20260913_210743,Mr Kyle Kaur,Sickness Cover,2024-09-25
BR-00000008-20260913_210743,2026-09-16,23:00:00,02:00:00,Riverside Integrated Care NHS Trust,Nursing,ENT Surgery,Surgery & Cancer,Healthcare Assistant,Staff Nurse,5,18.97,23.08,EMP0761-20260913_210743,Jill Page,Sickness Cover,2025-07-08
BR-00000009-20260913_210743,2026-10-24,22:00:00,10:00:00,Eastmoor Teaching Hospitals NHS Trust,AHP,Facilities Management,Corporate Services,Radiographer,Occupational Therapist,6,22.56,28.21,EMP0710-20260913_210743,Dr Lynne Carey,Maternity Leave Cover,2025-08-30
BR-00000010-20260913_210743,2026-12-28,20:15:00,00:15:00,Midlands Central Hospitals NHS Trust,AHP,Urgent Care,Emergency & Urgent Care,Speech Therapist,Occupational Therapist,6,22.56,28.21,EMP0929-20260913_210743,Gemma Warner,Ward Capacity Increase,2025-06-20
BR-00000011-20260913_210743,2027-06-22,14:30:00,18:30:00,Westmere Community Health NHS Trust,Medical,Urgent Care,Emergency & Urgent Care,SHO,Consultant,CONS,48.72,71.79,EMP0253-20260913_210743,Victoria Phillips,Staff Redeployment,2025-11-03
BR-00000012-20260913_210743,2026-04-23,01:15:00,09:15:00,Midlands Central Hospitals NHS Trust,Medical,Emergency Department,Emergency & Urgent Care,GP,GP,GP,46.15,61.54,EMP0593-20260913_210743,Ms Eileen Stokes,Training Cover,2025-09-27
BR-00000013-20260913_210743,2027-08-21,12:15:00,16:15:00,Westborough Acute Care NHS Trust,Nursing,Breast Surgery,Surgery & Cancer,Healthcare Assistant,Senior Staff Nurse,6,22.56,28.21,EMP1131-20260913_210743,Kieran Russell,Maternity Leave Cover,2025-02-08
BR-00000014-20260913_210743,2026-05-03,21:45:00,04:45:00,Northshire University Hospitals NHS Trust,AHP,Pathology,Clinical Support Services,Physiologist,Pharmacist,5,18.97,23.08,EMP0870-20260913_210743,Irene Stephens,Emergency Cover,2026-01-12
